City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
pampierstad,-27.78,24.69,29.01,88.0,0.0,8.21,ZA,1594778771.0
jamestown,42.1,-79.24,66.2,72.0,1.0,4.7,US,1594778230.0
kapaa,22.08,-159.32,82.99,74.0,75.0,14.99,US,1594778378.0
vaini,-21.2,-175.2,75.2,73.0,75.0,12.75,TO,1594778392.0
lagoa,39.05,-27.98,68.86,80.0,0.0,6.69,PT,1594778416.0
telde,27.99,-15.42,71.6,73.0,20.0,32.21,ES,1594778771.0
lavrentiya,65.58,-171.0,43.99,94.0,100.0,8.48,RU,1594778377.0
chuy,-33.7,-53.46,37.29,80.0,0.0,6.4,UY,1594778396.0
yellowknife,62.46,-114.35,55.4,93.0,90.0,16.11,CA,1594778383.0
ushuaia,-54.8,-68.3,30.2,92.0,40.0,4.7,AR,1594778127.0
castro,-24.79,-50.01,49.96,69.0,0.0,3.42,BR,1594778358.0
mehamn,71.04,27.85,46.65,77.0,100.0,3.96,NO,1594778772.0
sao filipe,14.9,-24.5,77.67,83.0,66.0,7.11,CV,1594778387.0
port alfred,-33.59,26.89,50.74,74.0,88.0,15.93,ZA,1594778381.0
provideniya,64.38,-173.3,48.2,93.0,90.0,11.18,RU,1594778383.0
chokurdakh,70.63,147.92,40.93,68.0,100.0,11.72,RU,1594778390.0
sao francisco de paula,-29.45,-50.58,37.0,70.0,0.0,2.24,BR,1594778773.0
rikitea,-23.12,-134.97,72.36,84.0,100.0,13.8,PF,1594778378.0
lebu,-37.62,-73.65,50.07,76.0,0.0,4.34,CL,1594778394.0
atuona,-9.8,-139.03,79.84,75.0,6.0,18.34,PF,1594778383.0
busselton,-33.65,115.33,55.99,91.0,67.0,5.01,AU,1594778383.0
hobart,-42.88,147.33,48.99,81.0,75.0,6.93,AU,1594778165.0
ahuimanu,21.44,-157.84,86.0,58.0,75.0,12.75,US,1594778397.0
vladicin han,42.71,22.06,59.0,80.0,51.0,1.01,RS,1594778773.0
peleduy,59.63,112.74,85.89,40.0,34.0,2.17,RU,1594778773.0
dikson,73.51,80.55,40.19,91.0,99.0,12.8,RU,1594778388.0
fortuna,40.6,-124.16,64.99,77.0,20.0,13.87,US,1594778347.0
hermanus,-34.42,19.23,37.0,93.0,0.0,10.16,ZA,1594778378.0
tiksi,71.69,128.87,43.25,72.0,0.0,9.33,RU,1594778382.0
blackwater,-23.58,148.88,63.99,41.0,0.0,2.95,AU,1594778774.0
kodinar,20.79,70.7,83.59,81.0,100.0,11.41,IN,1594778774.0
upernavik,72.79,-56.15,42.58,81.0,100.0,9.37,GL,1594778386.0
broome,42.25,-75.83,69.8,64.0,1.0,6.93,US,1594778350.0
bredasdorp,-34.53,20.04,44.6,81.0,0.0,5.82,ZA,1594778376.0
port blair,11.67,92.75,82.89,79.0,96.0,12.17,IN,1594778774.0
esperance,-33.87,121.9,51.8,76.0,0.0,10.29,AU,1594778347.0
alyangula,-13.85,136.42,78.8,47.0,3.0,13.87,AU,1594778377.0
albany,42.6,-73.97,71.01,71.0,51.0,2.53,US,1594778374.0
sitka,57.05,-135.33,55.4,87.0,75.0,14.99,US,1594778376.0
zhicheng,30.3,111.5,75.0,89.0,100.0,3.8,CN,1594778775.0
southampton,50.9,-1.4,57.0,62.0,99.0,1.99,GB,1594778775.0
longyearbyen,78.22,15.64,46.4,70.0,75.0,5.82,SJ,1594778391.0
saint george,37.1,-113.58,102.2,10.0,1.0,12.75,US,1594778341.0
el reno,35.53,-97.95,88.0,70.0,1.0,11.41,US,1594778775.0
belaya gora,68.53,146.42,59.59,44.0,77.0,7.49,RU,1594778395.0
avarua,-21.21,-159.78,73.4,60.0,29.0,6.93,CK,1594778395.0
khatanga,71.97,102.5,62.15,69.0,100.0,11.25,RU,1594778391.0
verkhnyaya balkariya,43.13,43.46,69.8,60.0,75.0,6.71,RU,1594778776.0
besancon,47.25,6.02,62.6,67.0,100.0,3.36,FR,1594778776.0
ordzhonikidze,52.44,61.74,73.17,62.0,0.0,6.31,KZ,1594778776.0
lyuban,52.8,28.0,51.22,93.0,100.0,7.9,BY,1594778776.0
novobirilyussy,56.95,90.67,59.72,59.0,27.0,9.69,RU,1594778776.0
severo-kurilsk,50.68,156.12,56.43,78.0,73.0,10.16,RU,1594778376.0
qaanaaq,77.48,-69.36,41.5,81.0,100.0,7.67,GL,1594778384.0
